dicofre;designacao;codigo;lat;long;area;pop;site;district;parish;nuts3;nuts2
118;Vagos;VGS;40.55;-8.683333;164.92;22851;http://www.cm-vagos.pt/;Aveiro;8;Região de Aveiro;Centro
119;Vale de Cambra;VLC;40.85;-8.4;235.89;22864;http://www.cm-valedecambra.pt;Aveiro;7;Área Metropolitana do Porto;Norte
201;Aljustrel;AJT;37.916667;-8.166667;458.47;8874;http://www.mun-aljustrel.pt/;Beja;4;Baixo Alentejo;Alentejo
202;Almodôvar;ADV;37.516667;-8.066667;777.88;6713;http://www.cm-almodovar.pt/;Beja;6;Baixo Alentejo;Alentejo
203;Alvito;AVT;38.25;-7.983333;264.85;2282;http://www.cm-alvito.pt/;Beja;2;Baixo Alentejo;Alentejo
204;Barrancos;BRC;38.130556;-6.976389;168.42;1435;http://www.cm-barrancos.pt/;Beja;1;Baixo Alentejo;Alentejo
205;Beja;BJA;38.033333;-7.883333;1106.44;33401;http://www.cm-beja.pt/;Beja;12;Baixo Alentejo;Alentejo
206;Castro Verde;CVR;37.7;-8.083333;569.44;6873;http://www.cm-castroverde.pt/;Beja;4;Baixo Alentejo;Alentejo
207;Cuba;CBA;38.166667;-7.9;172.09;4374;http://www.cm-cuba.pt/;Beja;4;Baixo Alentejo;Alentejo
208;Ferreira do Alentejo;FAL;38.05;-8.116667;648.25;7686;http://www.cm-ferreira-alentejo.pt/;Beja;4;Baixo Alentejo;Alentejo
209;Mértola;MTL;37.633333;-7.666667;1292.87;6205;http://www.cm-mertola.pt;Beja;7;Baixo Alentejo;Alentejo
210;Moura;MRA;38.116667;-7.5;958.46;13259;http://www.cm-moura.pt/;Beja;5;Baixo Alentejo;Alentejo
211;Odemira;ODM;37.598;-8.642;1720.60;29523;http://www.cm-odemira.pt/;Beja;13;Alentejo Litoral;Alentejo
212;Ourique;ORQ;37.65;-8.225;663.31;4840;http://cm-ourique.pt/;Beja;4;Baixo Alentejo;Alentejo
213;Serpa;SRP;37.944722;-7.598889;1105.63;13764;http://www.cm-serpa.pt/;Beja;5;Baixo Alentejo;Alentejo
214;Vidigueira;VDG;38.210653;-7.800983;316.61;5176;http://www.cm-vidigueira.pt/;Beja;4;Baixo Alentejo;Alentejo
301;Amares;AMR;41.633333;-8.35;81.95;18591;http://www.cm-amares.pt/;Braga;16;Cávado;Norte
302;Barcelos;BCL;41.533333;-8.616667;378.9;120391;http://www.cm-barcelos.pt/;Braga;61;Cávado;Norte
303;Braga;BRG;41.551111;-8.428333;183.4;193349;http://www.cm-braga.pt;Braga;37;Cávado;Norte
304;Cabeceiras de Basto;CBC;41.516667;-8;241.82;16064;https://cabeceirasdebasto.pt;Braga;12;Ave;Norte
305;Celorico de Basto;CBT;41.383333;-8;181.07;20098;http://www.cm-celoricobasto.pt/;Braga;15;Tâmega e Sousa;Norte
306;Esposende;EPS;41.533333;-8.783333;95.41;33947;http://www.cm-esposende.pt/;Braga;9;Cávado;Norte
307;Fafe;FAF;41.45;-8.175;219.08;48502;http://www.cm-fafe.pt/;Braga;25;Ave;Norte
308;Guimarães;GMR;41.441389;-8.295278;240.95;156852;http://www.cm-guimaraes.pt/;Braga;48;Ave;Norte
309;Póvoa de Lanhoso;PVL;41.578056;-8.277222;134.65;21787;http://www.cm-povoadelanhoso.pt/;Braga;22;Ave;Norte
310;Terras de Bouro;TBR;41.718611;-8.309444;277.46;6359;http://www.cm-terrasdebouro.pt/;Braga;14;Cávado;Norte
311;Vieira do Minho;VRM;41.635028;-8.141778;218.05;12997;http://www.cm-vminho.pt/;Braga;16;Ave;Norte
312;Vila Nova de Famalicão;VNF;41.416667;-8.516667;201.59;133590;https://www.famalicao.pt/;Braga;34;Ave;Norte
313;Vila Verde;VVD;41.65;-8.433333;228.67;46474;http://www.cm-vilaverde.pt/;Braga;33;Cávado;Norte
314;Vizela;VIZ;41.383333;-8.3;24.70;23736;http://www.cm-vizela.pt/;Braga;5;Ave;Norte
401;Alfândega da Fé;AFE;41.35;-6.966667;321.95;5104;http://www.cm-alfandegadafe.pt/;Bragança;12;Terras de Trás-os-Montes;Norte
402;Bragança;BGC;41.806667;-6.758889;1173.57;34589;http://www.cm-braganca.pt/;Bragança;49;Terras de Trás-os-Montes;Norte
403;Carrazeda de Ansiães;CRZ;41.25;-7.3;279.24;5494;http://www.cm-carrazedadeansiaes.pt/;Bragança;14;Douro;Norte
404;Freixo de Espada à Cinta;FEC;41.083333;-6.8;244.14;3215;http://www.cm-freixoespadacinta.pt/;Bragança;4;Douro;Norte
405;Macedo de Cavaleiros;MCD;41.533333;-6.95;699.14;15776;http://www.cm-macedodecavaleiros.pt;Bragança;30;Terras de Trás-os-Montes;Norte
406;Miranda do Douro;MDR;41.5;-6.266667;487.18;6466;http://www.cm-mdouro.pt;Bragança;13;Terras de Trás-os-Montes;Norte
407;Mirandela;MDL;41.483333;-7.183333;658.96;23850;http://www.cm-mirandela.pt/;Bragança;30;Terras de Trás-os-Montes;Norte
408;Mogadouro;MGD;41.333333;-6.716667;760.65;9542;http://www.mogadouro.pt/;Bragança;21;Terras de Trás-os-Montes;Norte
409;Torre de Moncorvo;TMC;41.173889;-7.05;531.56;8572;http://www.cm-moncorvo.pt/;Bragança;13;Douro;Norte
410;Vila Flor;VFL;41.307778;-7.153056;265.81;6697;http://www.cm-vilaflor.pt;Bragança;14;Terras de Trás-os-Montes;Norte
